,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,8:20PM ET,boxscore,L,,0-1,@,Green Bay Packers,23,24,18,294,155,139,1,16,370,301,69,2,-1.75,-1.65,-0.54
2,Mon,17-Sep,8:15PM ET,boxscore,W,,1-Jan,,Seattle Seahawks,24,17,20,271,185,86,2,17,276,202,74,2,-0.24,11.46,-2.71
3,Sun,23-Sep,4:25PM ET,boxscore,W,,1-Feb,@,Arizona Cardinals,16,14,21,316,194,122,2,13,221,168,53,4,-2.63,6.07,-1.68
4,Sun,30-Sep,1:00PM ET,boxscore,W,,1-Mar,,Tampa Bay Buccaneers,48,10,28,483,344,139,,16,311,251,60,3,33.53,5.14,-0.24
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,14-Oct,1:00PM ET,boxscore,L,OT,2-Mar,@,Miami Dolphins,28,31,23,467,303,164,3,23,541,380,161,3,12.66,-10.81,-5.41
7,Sun,21-Oct,1:00PM ET,boxscore,L,,3-Mar,,New England Patriots,31,38,29,453,319,134,2,21,381,273,108,3,16.6,-9.37,-5.66
8,Sun,28-Oct,1:00PM ET,boxscore,W,,3-Apr,,New York Jets,24,10,22,395,216,179,,12,207,150,57,,15.66,6.25,-9.71
9,Sun,4-Nov,1:00PM ET,boxscore,W,,3-May,@,Buffalo Bills,41,9,11,190,126,64,1,22,264,166,98,4,-2.58,29.93,2.21
10,Sun,11-Nov,1:00PM ET,boxscore,W,,3-Jun,,Detroit Lions,34,22,20,402,348,54,,24,305,229,76,3,21.9,0.42,-15.4
11,Sun,18-Nov,8:20PM ET,boxscore,W,,3-Jul,,Minnesota Vikings,25,20,24,308,160,148,3,19,268,246,22,3,-0.26,6.9,-0.96
12,Thu,22-Nov,12:30PM ET,boxscore,W,,3-Aug,@,Detroit Lions,23,16,19,264,226,38,1,17,333,222,111,2,1.31,2.71,0.91
13,Sun,2-Dec,1:00PM ET,boxscore,L,OT,4-Aug,@,New York Giants,27,30,23,376,258,118,3,18,338,197,141,1,-5.96,1.9,7.06
14,Sun,9-Dec,8:20PM ET,boxscore,W,,4-Sep,,Los Angeles Rams,15,6,17,294,100,194,3,14,214,162,52,4,-15.04,21.99,-2.29
15,Sun,16-Dec,1:00PM ET,boxscore,W,,4-Oct,,Green Bay Packers,24,17,19,332,232,100,1,19,323,235,88,1,6.61,1.33,-0.49
16,Sun,23-Dec,4:05PM ET,boxscore,W,,4-Nov,@,San Francisco 49ers,14,9,20,325,235,90,2,15,279,232,47,1,5.98,4.05,1.4
17,Sun,30-Dec,4:25PM ET,boxscore,W,,4-Dec,@,Minnesota Vikings,24,10,17,332,163,169,,12,164,101,63,,9.09,11.59,-6.78
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,6-Jan,4:40PM ET,boxscore,L,,5-Dec,,Philadelphia Eagles,15,16,17,356,291,65,,21,300,258,42,2,5.47,-2.5,-10.43
