,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,4:05PM ET,boxscore,L,,0-1,@,Seattle Seahawks,20,21,22,429,395,34,3,12,232,160,72,1,0.16,5.43,-8.5
2,Sun,15-Sep,1:00PM ET,boxscore,L,,0-2,,San Francisco 49ers,17,41,14,316,291,25,1,27,571,312,259,1,-1.14,-27.34,6.64
3,Sun,22-Sep,1:00PM ET,boxscore,L,,0-3,@,Buffalo Bills,17,21,17,306,240,66,4,25,416,241,175,2,-9.17,-1.8,8.04
4,Mon,30-Sep,8:15PM ET,boxscore,L,,0-4,@,Pittsburgh Steelers,3,27,16,175,102,73,2,20,326,260,66,1,-16.54,-6.93,0.04
5,Sun,6-Oct,1:00PM ET,boxscore,L,,0-5,,Arizona Cardinals,23,26,21,370,262,108,,26,514,248,266,,9.27,-21.22,8.95
6,Sun,13-Oct,1:00PM ET,boxscore,L,,0-6,@,Baltimore Ravens,17,23,18,250,217,33,1,26,497,228,269,1,0.57,-15.13,4.92
7,Sun,20-Oct,1:00PM ET,boxscore,L,,0-7,,Jacksonville Jaguars,17,27,21,291,258,33,4,22,460,244,216,,-14.01,-2.45,7.13
8,Sun,27-Oct,1:00PM ET,boxscore,L,,0-8,@,Los Angeles Rams,10,24,24,401,297,104,,19,470,372,98,,3.84,-18.42,-1.27
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,10-Nov,1:00PM ET,boxscore,L,,0-9,,Baltimore Ravens,13,49,21,307,150,157,3,20,379,243,136,1,-18.52,-24.79,7.48
11,Sun,17-Nov,4:25PM ET,boxscore,L,,0-10,@,Oakland Raiders,10,17,16,246,73,173,2,20,386,273,113,2,-9.64,-3.46,3.29
12,Sun,24-Nov,1:00PM ET,boxscore,L,,0-11,,Pittsburgh Steelers,10,16,11,244,158,86,2,16,338,179,159,1,-15.56,4.31,2.52
13,Sun,1-Dec,1:00PM ET,boxscore,W,,11-Jan,,New York Jets,22,6,18,277,233,44,,15,271,209,62,,1.76,12.69,0.63
14,Sun,8-Dec,1:00PM ET,boxscore,L,,12-Jan,@,Cleveland Browns,19,27,27,451,272,179,1,17,333,187,146,2,1.25,-6.12,-5.82
15,Sun,15-Dec,1:00PM ET,boxscore,L,,13-Jan,,New England Patriots,13,34,19,315,151,164,5,19,291,116,175,,-12.48,-2.27,-6.29
16,Sun,22-Dec,1:00PM ET,boxscore,L,OT,14-Jan,@,Miami Dolphins,35,38,25,430,371,59,1,29,502,406,96,1,7.22,-21.63,8.48
17,Sun,29-Dec,1:00PM ET,boxscore,W,,14-Feb,,Cleveland Browns,33,23,22,361,182,179,1,15,313,239,74,3,12.26,-1.53,-3.69
