,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:00PM ET,boxscore,L,,0-1,@,Baltimore Ravens,3,47,10,153,70,83,2,26,369,252,117,1,-28.71,-7.23,-2.33
2,Sun,16-Sep,1:00PM ET,boxscore,L,,0-2,,Los Angeles Chargers,20,31,17,293,209,84,2,21,349,240,109,,-1.04,-14.41,-0.51
3,Sun,23-Sep,1:00PM ET,boxscore,W,,2-Jan,@,Minnesota Vikings,27,6,16,292,164,128,,21,292,278,14,3,3.26,10.71,3.62
4,Sun,30-Sep,1:00PM ET,boxscore,L,,3-Jan,@,Green Bay Packers,0,22,11,145,87,58,3,22,423,282,141,2,-21.05,-2.71,7.7
5,Sun,7-Oct,1:00PM ET,boxscore,W,,3-Feb,,Tennessee Titans,13,12,18,223,79,144,1,15,221,121,100,3,-2.83,12.22,-8.39
6,Sun,14-Oct,1:00PM ET,boxscore,L,,4-Feb,@,Houston Texans,13,20,12,229,129,100,3,15,216,142,74,3,-17.49,12.36,-6.15
7,Sun,21-Oct,1:00PM ET,boxscore,L,,5-Feb,@,Indianapolis Colts,5,37,15,303,168,135,5,22,376,156,220,,-22.35,-22.28,7.56
8,Mon,29-Oct,8:15PM ET,boxscore,L,,6-Feb,,New England Patriots,6,25,16,333,287,46,2,22,387,311,76,,-20.65,-3.65,6.52
9,Sun,4-Nov,1:00PM ET,boxscore,L,,7-Feb,,Chicago Bears,9,41,22,264,166,98,4,11,190,126,64,1,-29.93,2.58,-2.21
10,Sun,11-Nov,1:00PM ET,boxscore,W,,7-Mar,@,New York Jets,41,10,23,451,239,212,,12,199,116,83,2,16.35,15.96,5.86
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,25-Nov,1:00PM ET,boxscore,W,,7-Apr,,Jacksonville Jaguars,24,21,18,327,160,167,,25,333,107,226,2,7.07,0.38,-2.11
13,Sun,2-Dec,1:00PM ET,boxscore,L,,8-Apr,@,Miami Dolphins,17,21,24,415,217,198,3,15,175,115,60,1,10.93,-0.01,-9.78
14,Sun,9-Dec,1:00PM ET,boxscore,L,,9-Apr,,New York Jets,23,27,24,368,192,176,3,15,248,170,78,2,6.81,-4.74,-5.69
15,Sun,16-Dec,1:00PM ET,boxscore,W,,9-May,,Detroit Lions,14,13,20,312,195,117,,14,313,208,105,,6.53,-4.83,-0.58
16,Sun,23-Dec,1:00PM ET,boxscore,L,,10-May,@,New England Patriots,12,24,14,289,217,72,3,20,390,117,273,3,-16.9,6.39,-2.11
17,Sun,30-Dec,1:00PM ET,boxscore,W,,10-Jun,,Miami Dolphins,42,17,23,381,215,166,1,17,225,126,99,4,13.1,16.21,-4.96
