,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,14-Sep,10:10PM ET,boxscore,L,,0-1,,Tennessee Titans,14,16,19,323,216,107,1,26,377,247,130,,3.03,-12.3,11.9
2,Sun,20-Sep,1:00PM ET,boxscore,L,,0-2,@,Pittsburgh Steelers,21,26,23,319,215,104,2,19,410,301,109,2,-6.02,0.36,-3.9
3,Sun,27-Sep,4:25PM ET,boxscore,L,,0-3,,Tampa Bay Buccaneers,10,28,13,226,184,42,2,17,353,285,68,,-10.72,-7.71,-0.99
4,Thu,1-Oct,8:20PM ET,boxscore,W,,3-Jan,@,New York Jets,37,28,21,359,242,117,3,18,321,192,129,,7.81,6.47,-0.72
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,18-Oct,1:00PM ET,boxscore,W,,3-Feb,@,New England Patriots,18,12,15,299,164,135,2,14,288,171,117,3,-6.67,13.3,-1.59
7,Sun,25-Oct,4:25PM ET,boxscore,L,,4-Feb,,Kansas City Chiefs,16,43,24,411,234,177,4,17,286,185,101,1,-15.83,-3.75,-6.31
8,Sun,1-Nov,4:05PM ET,boxscore,W,,4-Mar,,Los Angeles Chargers,31,30,17,351,243,108,1,28,485,275,210,2,8.64,-9.03,1.18
9,Sun,8-Nov,1:00PM ET,boxscore,L,,5-Mar,@,Atlanta Falcons,27,34,23,405,302,103,1,23,363,271,92,1,4.44,-14.27,-0.15
10,Sun,15-Nov,4:05PM ET,boxscore,L,,6-Mar,@,Las Vegas Raiders,12,37,20,313,247,66,5,21,357,154,203,,-17.38,-10.76,3.35
11,Sun,22-Nov,4:05PM ET,boxscore,W,,6-Apr,,Miami Dolphins,20,13,19,459,270,189,2,17,223,167,56,1,9.2,6.76,-4.92
12,Sun,29-Nov,4:05PM ET,boxscore,L,,7-Apr,,New Orleans Saints,3,31,6,112,12,100,3,19,292,63,229,1,-26.81,-4.99,4.76
13,Sun,6-Dec,8:20PM ET,boxscore,L,,8-Apr,@,Kansas City Chiefs,16,22,19,330,151,179,2,25,447,313,134,,6.11,-14.55,-0.21
14,Sun,13-Dec,1:00PM ET,boxscore,W,,8-May,@,Carolina Panthers,32,27,23,365,269,96,1,22,370,245,125,,8.51,-7.47,5.3
15,Sat,19-Dec,4:30PM ET,boxscore,L,,9-May,,Buffalo Bills,19,48,19,255,115,140,1,29,534,352,182,1,-3.55,-28.8,0.71
16,Sun,27-Dec,4:05PM ET,boxscore,L,,10-May,@,Los Angeles Chargers,16,19,23,396,263,133,2,16,316,227,89,,4.25,-1.63,-4.44
17,Sun,3-Jan,4:25PM ET,boxscore,L,,11-May,,Las Vegas Raiders,31,32,24,446,324,122,,22,465,359,106,4,13.17,-4.45,-8.91
