,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:00PM ET,boxscore,L,,0-1,@,Baltimore Ravens,6,38,20,306,168,138,3,23,381,270,111,1,-8.32,-16.62,-8.64
2,Thu,17-Sep,8:20PM ET,boxscore,W,,1-Jan,,Cincinnati Bengals,35,30,23,434,219,215,1,30,353,285,68,1,19.62,-11.19,-1.79
3,Sun,27-Sep,1:00PM ET,boxscore,W,,1-Feb,,Washington Football Team,34,20,19,300,142,158,,19,309,206,103,5,8.28,4.68,1.14
4,Sun,4-Oct,1:00PM ET,boxscore,W,,1-Mar,@,Dallas Cowboys,49,38,33,508,201,307,,35,566,481,85,3,29.43,-19.85,1.81
5,Sun,11-Oct,4:25PM ET,boxscore,W,,1-Apr,,Indianapolis Colts,32,23,22,385,261,124,2,15,308,240,68,2,9.88,2.46,-4.93
6,Sun,18-Oct,1:00PM ET,boxscore,L,,2-Apr,@,Pittsburgh Steelers,7,38,12,220,145,75,2,18,277,148,129,,-22.96,-6.99,-0.58
7,Sun,25-Oct,1:00PM ET,boxscore,W,,2-May,@,Cincinnati Bengals,37,34,23,398,316,82,1,31,468,387,81,2,25.11,-22.02,-1.35
8,Sun,1-Nov,1:00PM ET,boxscore,L,,3-May,,Las Vegas Raiders,6,16,14,223,122,101,1,24,309,100,209,,-0.65,-13.68,2.42
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,15-Nov,1:00PM ET,boxscore,W,,3-Jun,,Houston Texans,10,7,20,356,125,231,,16,243,153,90,,5.49,0.68,2.92
11,Sun,22-Nov,1:00PM ET,boxscore,W,,3-Jul,,Philadelphia Eagles,22,17,17,324,187,137,1,19,315,209,106,3,-4.43,10.55,1.99
12,Sun,29-Nov,1:00PM ET,boxscore,W,,3-Aug,@,Jacksonville Jaguars,27,25,25,459,252,207,1,22,375,235,140,,15.17,-11.93,-2.43
13,Sun,6-Dec,1:00PM ET,boxscore,W,,3-Sep,@,Tennessee Titans,41,35,26,458,340,118,1,25,431,369,62,3,16.85,-9.59,1.78
14,Mon,14-Dec,8:15PM ET,boxscore,L,,4-Sep,,Baltimore Ravens,42,47,33,493,355,138,1,25,385,154,231,,23.63,-24.92,-5.17
15,Sun,20-Dec,8:20PM ET,boxscore,W,,4-Oct,@,New York Giants,20,6,24,392,286,106,,14,288,214,74,,16.29,-0.85,-1.67
16,Sun,27-Dec,1:00PM ET,boxscore,L,,5-Oct,@,New York Jets,16,23,23,299,254,45,2,18,333,202,131,,-5.93,-0.77,4.45
17,Sun,3-Jan,1:00PM ET,boxscore,W,,5-Nov,,Pittsburgh Steelers,24,22,21,358,166,192,,18,394,309,85,1,12.89,-7.05,0.33
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,10-Jan,8:15PM ET,boxscore,W,,5-Dec,@,Pittsburgh Steelers,48,37,20,390,263,127,,34,553,501,52,5,14.03,-4.24,4.08
Division,Sun,17-Jan,3:05PM ET,boxscore,L,,6-Dec,@,Kansas City Chiefs,17,22,21,308,196,112,2,24,438,315,123,1,5.1,-19.09,8.48
