,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,4:25PM ET,boxscore,L,,0-1,,San Francisco 49ers,17,31,21,295,174,121,4,17,256,158,98,2,-19.12,7.51,-1.1
2,Thu,12-Sep,8:20PM ET,boxscore,W,,1-Jan,@,Carolina Panthers,20,14,16,289,189,100,,20,352,313,39,1,-2.31,14.8,-8.98
3,Sun,22-Sep,4:05PM ET,boxscore,L,,2-Jan,,New York Giants,31,32,24,499,355,144,1,17,384,312,72,2,14.58,-8.02,-6.08
4,Sun,29-Sep,4:05PM ET,boxscore,W,,2-Feb,@,Los Angeles Rams,55,40,27,464,376,88,1,36,518,490,28,4,22.76,-4.47,-4.04
5,Sun,6-Oct,1:00PM ET,boxscore,L,,3-Feb,@,New Orleans Saints,24,31,19,252,158,94,,25,457,345,112,1,4.27,-17.39,3.99
6,Sun,13-Oct,9:30AM ET,boxscore,L,,4-Feb,,Carolina Panthers,26,37,23,407,365,42,7,17,268,209,59,1,-14.39,2.76,0.09
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,27-Oct,1:00PM ET,boxscore,L,,5-Feb,@,Tennessee Titans,23,27,23,389,283,106,4,16,246,174,72,1,-6.92,2.72,-1.66
9,Sun,3-Nov,4:05PM ET,boxscore,L,OT,6-Feb,@,Seattle Seahawks,34,40,29,418,319,99,1,31,492,347,145,1,13.19,-23.58,6.92
10,Sun,10-Nov,1:00PM ET,boxscore,W,,6-Mar,,Arizona Cardinals,30,27,26,457,339,118,3,20,417,342,75,2,9.52,-1.71,-3.53
11,Sun,17-Nov,1:00PM ET,boxscore,L,,7-Mar,,New Orleans Saints,17,34,21,334,298,36,4,21,328,219,109,,-1.16,-12.23,0.13
12,Sun,24-Nov,1:00PM ET,boxscore,W,,7-Apr,@,Atlanta Falcons,35,22,20,446,313,133,2,22,337,280,57,2,11.9,5.6,-3.77
13,Sun,1-Dec,1:00PM ET,boxscore,W,,7-May,@,Jacksonville Jaguars,28,11,19,315,241,74,1,14,242,193,49,4,-4.31,26.93,-2.93
14,Sun,8-Dec,1:00PM ET,boxscore,W,,7-Jun,,Indianapolis Colts,38,35,29,542,467,75,4,16,309,243,66,1,9.53,-8.36,3.36
15,Sun,15-Dec,1:00PM ET,boxscore,W,,7-Jul,@,Detroit Lions,38,17,23,495,446,49,1,16,295,250,45,3,13.82,14.38,-7.29
16,Sat,21-Dec,1:00PM ET,boxscore,L,,8-Jul,,Houston Texans,20,23,19,435,329,106,5,15,229,161,68,2,-8.4,13.02,-7.92
17,Sun,29-Dec,1:00PM ET,boxscore,L,OT,9-Jul,,Atlanta Falcons,22,28,14,329,193,136,3,28,373,286,87,1,-5.96,8.27,-9.46
