,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,4:05PM ET,boxscore,W,OT,Jan-00,,Indianapolis Colts,30,24,25,435,310,125,2,22,376,173,203,,15.32,-18.02,8.43
2,Sun,15-Sep,1:00PM ET,boxscore,L,,1-Jan,@,Detroit Lions,10,13,21,424,287,137,2,19,339,245,94,2,5.86,-8.62,-0.56
3,Sun,22-Sep,4:25PM ET,boxscore,L,,2-Jan,,Houston Texans,20,27,22,366,293,73,1,20,376,337,39,1,6.08,-16.39,1.94
4,Sun,29-Sep,1:00PM ET,boxscore,W,,2-Feb,@,Miami Dolphins,30,10,24,390,311,79,,13,233,161,72,1,15.45,-0.41,3.89
5,Sun,6-Oct,4:05PM ET,boxscore,L,,3-Feb,,Denver Broncos,13,20,19,246,211,35,3,15,350,159,191,2,-12.18,2.29,0.78
6,Sun,13-Oct,8:20PM ET,boxscore,L,,4-Feb,,Pittsburgh Steelers,17,24,23,348,316,32,3,18,256,132,124,1,-2.12,-5.45,-4.54
7,Sun,20-Oct,4:05PM ET,boxscore,L,,5-Feb,@,Tennessee Titans,20,23,24,365,326,39,1,22,403,306,97,1,8.93,-10.83,-0.57
8,Sun,27-Oct,1:00PM ET,boxscore,W,,5-Mar,@,Chicago Bears,17,16,11,231,195,36,1,26,388,226,162,2,-5.45,-0.44,6.02
9,Sun,3-Nov,4:25PM ET,boxscore,W,,5-Apr,,Green Bay Packers,26,11,24,442,283,159,,13,184,139,45,,16.68,5.74,-6.12
10,Thu,7-Nov,8:20PM ET,boxscore,L,,6-Apr,@,Oakland Raiders,24,26,26,315,169,146,3,18,278,200,78,,0.55,-5.96,1.54
11,Mon,18-Nov,8:15PM ET,boxscore,L,,7-Apr,,Kansas City Chiefs,17,24,23,438,345,93,4,18,310,180,130,1,-1.36,-4.13,-2.05
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,1-Dec,4:25PM ET,boxscore,L,,8-Apr,@,Denver Broncos,20,23,17,359,244,115,2,13,218,134,84,1,1.4,2.73,-11.44
14,Sun,8-Dec,4:05PM ET,boxscore,W,,8-May,@,Jacksonville Jaguars,45,10,27,525,330,195,,15,252,164,88,,37.99,6.91,-8.63
15,Sun,15-Dec,4:05PM ET,boxscore,L,,9-May,,Minnesota Vikings,10,39,17,345,283,62,7,18,344,207,137,1,-20.63,-5.27,0.79
16,Sun,22-Dec,4:05PM ET,boxscore,L,,10-May,,Oakland Raiders,17,24,21,284,265,19,,19,366,267,99,,6.73,-12.67,-2.6
17,Sun,29-Dec,1:00PM ET,boxscore,L,,11-May,@,Kansas City Chiefs,21,31,25,366,258,108,2,16,336,174,162,1,9.18,-13.59,-7.29
