,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,10-Sep,8:20PM ET,boxscore,W,,Jan-00,,Houston Texans,34,20,28,369,203,166,,21,360,242,118,1,22.94,-8.16,1.59
2,Sun,20-Sep,4:25PM ET,boxscore,W,OT,Feb-00,@,Los Angeles Chargers,23,20,23,414,289,125,,28,479,296,183,1,10.92,-13.33,3.8
3,Mon,28-Sep,8:15PM ET,boxscore,W,,Mar-00,@,Baltimore Ravens,34,20,29,517,385,132,1,16,228,70,158,1,26.62,4.74,-17.39
4,Mon,5-Oct,7:05PM ET,boxscore,W,,Apr-00,,New England Patriots,26,10,19,323,229,94,1,21,357,172,185,4,5.72,10.82,-3.78
5,Sun,11-Oct,1:00PM ET,boxscore,L,,1-Apr,,Las Vegas Raiders,32,40,21,413,333,80,1,22,490,346,144,1,10.45,-22.81,0.4
6,Mon,19-Oct,5:00PM ET,boxscore,W,,1-May,@,Buffalo Bills,26,17,27,466,221,245,1,20,206,122,84,1,21.56,-4.19,-8.48
7,Sun,25-Oct,4:25PM ET,boxscore,W,,1-Jun,@,Denver Broncos,43,16,17,286,185,101,1,24,411,234,177,4,3.75,15.83,6.31
8,Sun,1-Nov,1:00PM ET,boxscore,W,,1-Jul,,New York Jets,35,9,25,496,446,50,,13,221,128,93,1,21.48,8.29,-6.95
9,Sun,8-Nov,1:00PM ET,boxscore,W,,1-Aug,,Carolina Panthers,33,31,24,397,361,36,1,30,435,331,104,,20.48,-19.28,-1.85
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,22-Nov,8:20PM ET,boxscore,W,,1-Sep,@,Las Vegas Raiders,35,31,36,460,352,108,1,25,364,275,89,1,28.52,-19.95,-2.56
12,Sun,29-Nov,4:25PM ET,boxscore,W,,1-Oct,@,Tampa Bay Buccaneers,27,24,26,543,456,87,1,20,417,342,75,2,20.42,-12.72,-2.46
13,Sun,6-Dec,8:20PM ET,boxscore,W,,1-Nov,,Denver Broncos,22,16,25,447,313,134,,19,330,151,179,2,14.55,-6.11,0.21
14,Sun,13-Dec,1:00PM ET,boxscore,W,,1-Dec,@,Miami Dolphins,33,27,22,448,354,94,4,27,367,287,80,1,3.61,-10.4,14.14
15,Sun,20-Dec,4:25PM ET,boxscore,W,,13-1,@,New Orleans Saints,32,29,34,411,232,179,1,15,285,225,60,1,12.26,-0.3,-8.71
16,Sun,27-Dec,1:00PM ET,boxscore,W,,14-1,,Atlanta Falcons,17,14,23,395,278,117,2,23,367,277,90,1,5.3,-5.95,3.91
17,Sun,3-Jan,4:25PM ET,boxscore,L,,14-2,,Los Angeles Chargers,21,38,18,268,217,51,1,29,416,281,135,,10.71,-25.49,-3.07
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sun,17-Jan,3:05PM ET,boxscore,W,,15-2,,Cleveland Browns,22,17,24,438,315,123,1,21,308,196,112,2,19.09,-5.1,-8.48
Conf. Champ.,Sun,24-Jan,6:40PM ET,boxscore,W,,16-2,,Buffalo Bills,38,24,29,439,325,114,1,24,363,234,129,1,30.34,-3.03,-9.61
SuperBowl,Sun,7-Feb,6:30PM ET,boxscore,L,,16-3,N,Tampa Bay Buccaneers,9,31,22,350,243,107,2,26,340,195,145,,-7.9,-10.75,-1.18
