,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,4:25PM ET,boxscore,L,,0-1,@,Carolina Panthers,8,16,17,232,138,94,1,20,293,146,147,1,-9.14,2.28,-3.01
2,Sun,16-Sep,8:20PM ET,boxscore,W,,1-Jan,,New York Giants,20,13,16,298,160,138,,17,255,220,35,1,7.1,3.49,-3.49
3,Sun,23-Sep,4:25PM ET,boxscore,L,,2-Jan,@,Seattle Seahawks,13,24,17,303,137,166,3,18,295,182,113,,-11.41,-5.56,11.31
4,Sun,30-Sep,1:00PM ET,boxscore,W,,2-Feb,,Detroit Lions,26,24,26,414,231,183,,18,382,286,96,,18.17,-17.1,0.37
5,Sun,7-Oct,8:20PM ET,boxscore,L,OT,3-Feb,@,Houston Texans,16,19,14,292,194,98,2,25,462,374,88,2,-8.15,-1.63,5.93
6,Sun,14-Oct,4:25PM ET,boxscore,W,,3-Mar,,Jacksonville Jaguars,40,7,23,378,172,206,,10,204,139,65,2,11.83,15.11,4.14
7,Sun,21-Oct,4:25PM ET,boxscore,L,,4-Mar,@,Washington Redskins,17,20,17,323,250,73,2,15,305,175,130,,-1.71,-0.89,-0.27
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Mon,5-Nov,8:15PM ET,boxscore,L,,5-Mar,,Tennessee Titans,14,28,18,297,225,72,2,24,340,215,125,2,-2.26,-12.17,2.87
10,Sun,11-Nov,8:20PM ET,boxscore,W,,5-Apr,@,Philadelphia Eagles,27,20,23,410,239,171,,23,421,350,71,1,11.95,-3.87,-5.2
11,Sun,18-Nov,1:00PM ET,boxscore,W,,5-May,@,Atlanta Falcons,22,19,20,323,191,132,,19,354,274,80,1,10.89,-5.2,-0.89
12,Thu,22-Nov,4:30PM ET,boxscore,W,,5-Jun,,Washington Redskins,31,23,20,404,258,146,,18,331,251,80,3,10.45,0.72,-1.62
13,Thu,29-Nov,8:20PM ET,boxscore,W,,5-Jul,,New Orleans Saints,13,10,21,308,209,99,2,14,176,111,65,1,-0.16,9.57,-1.7
14,Sun,9-Dec,4:25PM ET,boxscore,W,OT,5-Aug,,Philadelphia Eagles,29,23,32,576,434,142,3,16,256,222,34,1,9.25,-0.29,-2.96
15,Sun,16-Dec,1:00PM ET,boxscore,L,,6-Aug,@,Indianapolis Colts,0,23,19,292,180,112,1,25,370,192,178,1,-8.08,-10.54,2.01
16,Sun,23-Dec,1:00PM ET,boxscore,W,,6-Sep,,Tampa Bay Buccaneers,27,20,16,232,152,80,,27,383,320,63,2,-0.41,5.08,4.32
17,Sun,30-Dec,1:00PM ET,boxscore,W,,6-Oct,@,New York Giants,36,35,23,419,368,51,1,20,441,298,143,2,21.03,-10.28,-8.93
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,5-Jan,8:15PM ET,boxscore,W,,6-Nov,,Seattle Seahawks,24,22,23,380,216,164,1,11,299,226,73,,7.14,-3.19,-4.37
Division,Sat,12-Jan,8:15PM ET,boxscore,L,,7-Nov,@,Los Angeles Rams,22,30,19,308,258,50,,30,459,186,273,,13.46,-24.75,0.14
