,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:00PM ET,boxscore,L,,0-1,@,Washington Football Team,17,27,19,265,208,57,3,18,239,159,80,,-16.45,6.28,1.28
2,Sun,20-Sep,1:00PM ET,boxscore,L,,0-2,,Los Angeles Rams,19,37,25,363,242,121,3,30,449,258,191,1,-0.85,-27.57,8.25
3,Sun,27-Sep,1:00PM ET,boxscore,T,OT,0-2-1,,Cincinnati Bengals,23,23,27,378,206,172,2,24,304,256,48,,1.65,0.48,-1.44
4,Sun,4-Oct,8:20PM ET,boxscore,W,,1/2/01,@,San Francisco 49ers,25,20,18,267,174,93,1,25,417,301,116,3,0.66,-0.02,3.75
5,Sun,11-Oct,1:00PM ET,boxscore,L,,1/3/01,@,Pittsburgh Steelers,29,38,20,336,242,94,2,25,367,231,136,1,14.47,-20.16,-3.43
6,Sun,18-Oct,1:00PM ET,boxscore,L,,1/4/01,,Baltimore Ravens,28,30,19,364,170,194,1,17,355,173,182,,1.83,0.7,-9.68
7,Thu,22-Oct,8:20PM ET,boxscore,W,,2/4/01,,New York Giants,22,21,27,442,346,96,1,17,325,165,160,3,2.8,1.65,-1.27
8,Sun,1-Nov,8:20PM ET,boxscore,W,,3/4/01,,Dallas Cowboys,23,9,18,222,103,119,4,21,265,132,133,2,-11.99,21.74,-1.73
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,15-Nov,1:00PM ET,boxscore,L,,3/5/01,@,New York Giants,17,27,22,346,190,156,,22,382,231,151,,2.7,-14.42,-4.88
11,Sun,22-Nov,1:00PM ET,boxscore,L,,3/6/01,@,Cleveland Browns,17,22,19,315,209,106,3,17,324,187,137,1,-10.55,4.43,-1.99
12,Mon,30-Nov,8:15PM ET,boxscore,L,,3/7/01,,Seattle Seahawks,17,23,18,250,180,70,1,20,301,225,76,,-6.08,-0.57,-1.79
13,Sun,6-Dec,4:25PM ET,boxscore,L,,3/8/01,@,Green Bay Packers,16,30,17,278,161,117,1,20,437,288,149,,-2.33,-19.58,8.04
14,Sun,13-Dec,4:25PM ET,boxscore,W,,4/8/01,,New Orleans Saints,24,21,21,413,167,246,1,20,358,262,96,2,6.77,-4.23,1.33
15,Sun,20-Dec,4:05PM ET,boxscore,L,,4/9/01,@,Arizona Cardinals,26,33,26,422,305,117,,26,526,423,103,3,10.01,-4.72,-12.58
16,Sun,27-Dec,4:25PM ET,boxscore,L,,4/10/01,@,Dallas Cowboys,17,37,24,477,326,151,3,22,513,362,151,1,5.42,-23.4,0.38
17,Sun,3-Jan,8:20PM ET,boxscore,L,,4/11/01,,Washington Football Team,14,20,16,216,98,118,3,16,248,145,103,2,-11.71,8.33,-3.56
