,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:00PM ET,boxscore,L,,0-1,,Seattle Seahawks,25,38,28,506,434,72,2,22,383,299,84,,7.25,-21.28,-0.51
2,Sun,20-Sep,1:00PM ET,boxscore,L,,0-2,@,Dallas Cowboys,39,40,22,380,267,113,,33,570,445,125,3,13.66,-17.31,1.38
3,Sun,27-Sep,1:00PM ET,boxscore,L,,0-3,,Chicago Bears,26,30,22,371,227,144,1,24,437,307,130,2,5.82,-2.87,-5.24
4,Mon,5-Oct,8:15PM ET,boxscore,L,,0-4,@,Green Bay Packers,16,30,24,327,249,78,,22,403,315,88,,5.57,-19.46,-0.14
5,Sun,11-Oct,1:00PM ET,boxscore,L,,0-5,,Carolina Panthers,16,23,21,373,207,166,1,24,437,313,124,,6.82,-18.13,2.46
6,Sun,18-Oct,1:00PM ET,boxscore,W,,5-Jan,@,Minnesota Vikings,40,23,24,462,363,99,1,19,365,333,32,3,20.17,-0.99,0.84
7,Sun,25-Oct,1:00PM ET,boxscore,L,,6-Jan,,Detroit Lions,22,23,26,388,322,66,1,21,386,322,64,,10.84,-10.28,-2.56
8,Thu,29-Oct,8:20PM ET,boxscore,W,,6-Feb,@,Carolina Panthers,25,17,28,401,270,131,1,18,304,157,147,1,15.4,-2.21,-6.84
9,Sun,8-Nov,1:00PM ET,boxscore,W,,6-Mar,,Denver Broncos,34,27,23,363,271,92,1,23,405,302,103,1,14.27,-4.44,0.15
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,22-Nov,1:00PM ET,boxscore,L,,7-Mar,@,New Orleans Saints,9,24,14,248,196,52,2,24,376,210,166,1,-4.08,-12.49,8.6
12,Sun,29-Nov,1:00PM ET,boxscore,W,,7-Apr,,Las Vegas Raiders,43,6,23,304,179,125,1,13,243,203,40,5,3.82,34.18,-4.76
13,Sun,6-Dec,1:00PM ET,boxscore,L,,8-Apr,,New Orleans Saints,16,21,21,332,262,70,1,23,424,217,207,1,-0.46,-8.37,6.27
14,Sun,13-Dec,4:25PM ET,boxscore,L,,9-Apr,@,Los Angeles Chargers,17,20,19,319,249,70,3,23,345,240,105,1,5.82,-10.14,1.54
15,Sun,20-Dec,1:00PM ET,boxscore,L,,10-Apr,,Tampa Bay Buccaneers,27,31,23,369,332,37,,27,416,365,51,,8.39,-20.21,4.28
16,Sun,27-Dec,1:00PM ET,boxscore,L,,11-Apr,@,Kansas City Chiefs,14,17,23,367,277,90,1,23,395,278,117,2,5.95,-5.3,-3.91
17,Sun,3-Jan,1:00PM ET,boxscore,L,,12-Apr,@,Tampa Bay Buccaneers,27,44,25,385,258,127,2,28,485,391,94,1,10.53,-29.28,-0.43
