,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:00PM ET,boxscore,L,,0-1,,Jacksonville Jaguars,15,20,15,324,210,114,2,17,305,168,137,1,-10.37,6.03,-4.61
2,Sun,16-Sep,8:20PM ET,boxscore,L,,0-2,@,Dallas Cowboys,13,20,17,255,220,35,1,16,298,160,138,,-3.49,-7.1,3.49
3,Sun,23-Sep,1:00PM ET,boxscore,W,,2-Jan,@,Houston Texans,27,22,21,379,265,114,,21,427,368,59,2,14.9,-6,-3.71
4,Sun,30-Sep,4:25PM ET,boxscore,L,,3-Jan,,New Orleans Saints,18,33,22,299,234,65,2,25,389,219,170,,-0.2,-12.86,-2.41
5,Sun,7-Oct,1:00PM ET,boxscore,L,,4-Jan,@,Carolina Panthers,31,33,18,432,382,50,3,21,350,232,118,2,9.09,-1.96,-7.79
6,Thu,11-Oct,8:20PM ET,boxscore,L,,5-Jan,,Philadelphia Eagles,13,34,17,401,254,147,1,23,379,271,108,,-1.39,-16.39,2.22
7,Mon,22-Oct,8:15PM ET,boxscore,L,,6-Jan,@,Atlanta Falcons,20,23,21,433,372,61,,22,423,356,67,1,12.61,-12.04,-2.1
8,Sun,28-Oct,1:00PM ET,boxscore,L,,7-Jan,,Washington Redskins,13,20,18,303,266,37,2,20,360,178,182,1,-4.74,0.19,-3.53
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Mon,12-Nov,8:15PM ET,boxscore,W,,7-Feb,@,San Francisco 49ers,27,23,17,277,180,97,,24,374,250,124,2,8.85,-6.78,0.26
11,Sun,18-Nov,1:00PM ET,boxscore,W,,7-Mar,,Tampa Bay Buccaneers,38,35,19,359,196,163,,31,510,359,151,4,16.46,-19.19,5.52
12,Sun,25-Nov,1:00PM ET,boxscore,L,,8-Mar,@,Philadelphia Eagles,22,25,18,402,276,126,1,19,341,214,127,,6.46,-11.2,1.03
13,Sun,2-Dec,1:00PM ET,boxscore,W,OT,8-Apr,,Chicago Bears,30,27,18,338,197,141,1,23,376,258,118,3,-1.9,5.96,-7.06
14,Sun,9-Dec,1:00PM ET,boxscore,W,,8-May,@,Washington Redskins,40,16,19,402,175,227,1,12,288,204,84,3,10.27,19.48,-9.84
15,Sun,16-Dec,1:00PM ET,boxscore,L,,9-May,,Tennessee Titans,0,17,15,260,213,47,2,22,301,86,215,,-16.42,-4.8,6.32
16,Sun,23-Dec,1:00PM ET,boxscore,L,,10-May,@,Indianapolis Colts,27,28,22,392,309,83,1,27,402,353,49,1,16.7,-18.72,-0.88
17,Sun,30-Dec,1:00PM ET,boxscore,L,,11-May,,Dallas Cowboys,35,36,20,441,298,143,2,23,419,368,51,1,10.28,-21.03,8.93
