,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,1:00PM ET,boxscore,L,,0-1,,Kansas City Chiefs,26,40,18,428,347,81,2,24,491,378,113,,8.7,-26.49,-1.47
2,Sun,15-Sep,1:00PM ET,boxscore,L,,0-2,@,Houston Texans,12,13,16,281,178,103,1,17,263,137,126,,-7.19,2.3,1.18
3,Thu,19-Sep,8:20PM ET,boxscore,W,,2-Jan,,Tennessee Titans,20,7,12,292,204,88,,21,340,249,91,1,-1.2,6.44,5.28
4,Sun,29-Sep,4:25PM ET,boxscore,W,,2-Feb,@,Denver Broncos,26,24,25,455,186,269,,19,371,303,68,1,7.97,-6.62,0.72
5,Sun,6-Oct,1:00PM ET,boxscore,L,,3-Feb,@,Carolina Panthers,27,34,28,507,358,149,3,22,445,160,285,,5.62,-16.1,6.41
6,Sun,13-Oct,1:00PM ET,boxscore,L,,4-Feb,,New Orleans Saints,6,13,11,226,151,75,1,18,326,222,104,,-11.07,-1.88,0.56
7,Sun,20-Oct,1:00PM ET,boxscore,W,,4-Mar,@,Cincinnati Bengals,27,17,22,460,244,216,,21,291,258,33,4,2.45,14.01,-7.13
8,Sun,27-Oct,1:00PM ET,boxscore,W,,4-Apr,,New York Jets,29,15,21,389,278,111,1,15,213,167,46,3,4.35,12.91,-3.33
9,Sun,3-Nov,9:30AM ET,boxscore,L,,5-Apr,,Houston Texans,3,26,21,356,282,74,4,21,410,194,216,1,-12.02,-8.05,0.32
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,17-Nov,1:00PM ET,boxscore,L,,6-Apr,@,Indianapolis Colts,13,33,15,308,279,29,1,23,389,125,264,2,-4.19,-15.77,5.81
12,Sun,24-Nov,4:05PM ET,boxscore,L,,7-Apr,@,Tennessee Titans,20,42,23,369,252,117,1,21,471,252,219,2,1.2,-20.75,-2.59
13,Sun,1-Dec,1:00PM ET,boxscore,L,,8-Apr,,Tampa Bay Buccaneers,11,28,14,242,193,49,4,19,315,241,74,1,-26.93,4.31,2.93
14,Sun,8-Dec,4:05PM ET,boxscore,L,,9-Apr,,Los Angeles Chargers,10,45,15,252,164,88,,27,525,330,195,,-6.91,-37.99,8.63
15,Sun,15-Dec,4:05PM ET,boxscore,W,,9-May,@,Oakland Raiders,20,16,17,262,185,77,,27,364,236,128,,6.63,-11.24,6.93
16,Sun,22-Dec,1:00PM ET,boxscore,L,,10-May,@,Atlanta Falcons,12,24,17,288,173,115,1,28,518,383,135,2,-4.26,-18.86,7.84
17,Sun,29-Dec,4:25PM ET,boxscore,W,,10-Jun,,Indianapolis Colts,38,20,23,353,286,67,1,17,275,143,132,2,13.7,5.69,0.18
