,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:00PM ET,boxscore,L,,0-1,@,Buffalo Bills,17,27,15,254,202,52,2,31,404,306,98,2,-0.12,-14.47,3.63
2,Sun,20-Sep,1:00PM ET,boxscore,L,,0-2,,San Francisco 49ers,13,31,17,277,173,104,,17,359,177,182,1,-4.92,-11.4,-0.86
3,Sun,27-Sep,4:05PM ET,boxscore,L,,0-3,@,Indianapolis Colts,7,36,15,260,151,109,3,21,353,234,119,,-22.25,-11.02,0.99
4,Thu,1-Oct,8:20PM ET,boxscore,L,,0-4,,Denver Broncos,28,37,18,321,192,129,,21,359,242,117,3,-6.47,-7.81,0.72
5,Sun,11-Oct,1:00PM ET,boxscore,L,,0-5,,Arizona Cardinals,10,30,21,285,162,123,,28,496,369,127,1,-4.27,-17.2,3.61
6,Sun,18-Oct,4:05PM ET,boxscore,L,,0-6,@,Miami Dolphins,0,24,13,263,148,115,1,18,302,192,110,2,-18.17,-0.32,-3.79
7,Sun,25-Oct,1:00PM ET,boxscore,L,,0-7,,Buffalo Bills,10,18,17,191,91,100,2,26,422,296,126,1,-8.08,-6.27,3.23
8,Sun,1-Nov,1:00PM ET,boxscore,L,,0-8,@,Kansas City Chiefs,9,35,13,221,128,93,1,25,496,446,50,,-8.29,-21.48,6.95
9,Mon,9-Nov,8:15PM ET,boxscore,L,,0-9,,New England Patriots,27,30,18,322,257,65,1,30,433,274,159,,18.71,-18.7,-2.16
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,22-Nov,4:05PM ET,boxscore,L,,0-10,@,Los Angeles Chargers,28,34,20,292,196,96,1,28,376,347,29,1,7.52,-16.66,3.42
12,Sun,29-Nov,1:00PM ET,boxscore,L,,0-11,,Miami Dolphins,3,20,10,260,173,87,2,22,345,241,104,2,-15.02,-1.9,-3.01
13,Sun,6-Dec,1:00PM ET,boxscore,L,,0-12,,Las Vegas Raiders,28,31,24,376,170,206,3,24,440,368,72,2,7.59,-9.86,0.37
14,Sun,13-Dec,4:05PM ET,boxscore,L,,0-13,@,Seattle Seahawks,3,40,12,185,116,69,1,28,410,236,174,1,-10.41,-22.39,-2.47
15,Sun,20-Dec,4:05PM ET,boxscore,W,,13-Jan,@,Los Angeles Rams,23,20,17,289,196,93,,16,303,189,114,1,0.42,2.53,0.32
16,Sun,27-Dec,1:00PM ET,boxscore,W,,13-Feb,,Cleveland Browns,23,16,18,333,202,131,,23,299,254,45,2,0.77,5.93,-4.45
17,Sun,3-Jan,1:00PM ET,boxscore,L,,14-Feb,@,New England Patriots,14,28,21,350,239,111,2,23,404,238,166,,3.92,-18.13,0.05
