,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,4:25PM ET,boxscore,T,OT,0-0-1,@,Arizona Cardinals,27,27,23,477,361,116,2,21,387,275,112,1,7.02,3.5,-9.8
2,Sun,15-Sep,1:00PM ET,boxscore,W,,1-0-1,,Los Angeles Chargers,13,10,19,339,245,94,2,21,424,287,137,2,8.62,-5.86,0.56
3,Sun,22-Sep,1:00PM ET,boxscore,W,,2-0-1,@,Philadelphia Eagles,27,24,16,287,201,86,,22,373,246,127,2,1.07,0.31,3.8
4,Sun,29-Sep,1:00PM ET,boxscore,L,,2/1/01,,Kansas City Chiefs,30,34,29,447,261,186,2,29,438,315,123,3,1.27,-17.08,13.41
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Mon,14-Oct,8:15PM ET,boxscore,L,,2/2/01,@,Green Bay Packers,22,23,13,299,243,56,,22,447,277,170,3,-0.7,-4.03,4.66
7,Sun,20-Oct,1:00PM ET,boxscore,L,,2/3/01,,Minnesota Vikings,30,42,26,433,352,81,1,32,504,338,166,,18.28,-35.6,2.59
8,Sun,27-Oct,1:00PM ET,boxscore,W,,3/3/01,,New York Giants,31,26,17,375,316,59,2,24,370,290,80,1,7.67,-6.34,5.39
9,Sun,3-Nov,4:05PM ET,boxscore,L,,3/4/01,@,Oakland Raiders,24,31,26,473,383,90,2,25,450,279,171,,13.92,-16.79,-4.07
10,Sun,10-Nov,1:00PM ET,boxscore,L,,3/5/01,@,Chicago Bears,13,20,21,357,259,98,1,13,226,145,81,,-6.77,0.41,2.1
11,Sun,17-Nov,1:00PM ET,boxscore,L,,3/6/01,,Dallas Cowboys,27,35,19,312,191,121,,26,509,434,75,1,7.7,-22.23,6.35
12,Sun,24-Nov,1:00PM ET,boxscore,L,,3/7/01,@,Washington Redskins,16,19,21,364,189,175,4,13,230,144,86,2,-8.85,13.57,-10.88
13,Thu,28-Nov,12:30PM ET,boxscore,L,,3/8/01,,Chicago Bears,20,24,19,364,259,105,1,22,419,331,88,1,6.28,-8.33,-0.13
14,Sun,8-Dec,1:00PM ET,boxscore,L,,3/9/01,@,Minnesota Vikings,7,20,18,231,161,70,2,22,354,234,120,,-7.27,-3.77,0.3
15,Sun,15-Dec,1:00PM ET,boxscore,L,,3/10/01,,Tampa Bay Buccaneers,17,38,16,295,250,45,3,23,495,446,49,1,-14.38,-13.82,7.29
16,Sun,22-Dec,4:05PM ET,boxscore,L,,3/11/01,@,Denver Broncos,17,27,13,191,95,96,,25,348,198,150,,-4.32,-12.95,4.08
17,Sun,29-Dec,1:00PM ET,boxscore,L,,3/12/01,,Green Bay Packers,20,23,17,305,134,171,1,25,432,312,120,1,1.53,-8.54,4.01
