,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,5-Sep,8:20PM ET,boxscore,W,,Jan-00,@,Chicago Bears,10,3,13,213,166,47,,16,254,208,46,1,-9.57,20.02,2.01
2,Sun,15-Sep,1:00PM ET,boxscore,W,,Feb-00,,Minnesota Vikings,21,16,20,335,191,144,2,15,421,223,198,4,-7.02,6.94,5.3
3,Sun,22-Sep,1:00PM ET,boxscore,W,,Mar-00,,Denver Broncos,27,16,16,312,235,77,,20,310,161,149,3,6.29,7.05,-3.35
4,Thu,26-Sep,8:20PM ET,boxscore,L,,1-Mar,,Philadelphia Eagles,27,34,31,491,414,77,2,24,336,160,176,,16.95,-18.42,-4.12
5,Sun,6-Oct,4:25PM ET,boxscore,W,,1-Apr,@,Dallas Cowboys,34,24,24,335,215,120,,32,563,441,122,3,9.21,-12.8,10.99
6,Mon,14-Oct,8:15PM ET,boxscore,W,,1-May,,Detroit Lions,23,22,22,447,277,170,3,13,299,243,56,,4.03,0.7,-4.66
7,Sun,20-Oct,1:00PM ET,boxscore,W,,1-Jun,,Oakland Raiders,42,24,22,481,421,60,,21,484,329,155,2,33.09,-11.8,-5.36
8,Sun,27-Oct,8:20PM ET,boxscore,W,,1-Jul,@,Kansas City Chiefs,31,24,21,374,256,118,,21,337,249,88,1,17.67,-11.4,-0.68
9,Sun,3-Nov,4:25PM ET,boxscore,L,,2-Jul,@,Los Angeles Chargers,11,26,13,184,139,45,,24,442,283,159,,-5.74,-16.68,6.12
10,Sun,10-Nov,4:25PM ET,boxscore,W,,2-Aug,,Carolina Panthers,24,16,23,388,225,163,,26,401,281,120,2,17.83,-8.55,-0.11
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,24-Nov,8:20PM ET,boxscore,L,,3-Aug,@,San Francisco 49ers,8,37,19,198,81,117,1,16,339,227,112,,-14.62,-10.66,-0.67
13,Sun,1-Dec,1:00PM ET,boxscore,W,,3-Sep,@,New York Giants,31,13,19,322,243,79,,20,335,240,95,3,15.72,-0.75,0.67
14,Sun,8-Dec,1:00PM ET,boxscore,W,,3-Oct,,Washington Redskins,20,15,18,341,167,174,1,18,262,141,121,1,5.07,1.04,0.91
15,Sun,15-Dec,1:00PM ET,boxscore,W,,3-Nov,,Chicago Bears,21,13,12,292,192,100,,20,415,319,96,3,-2.97,4.89,1.24
16,Mon,23-Dec,8:15PM ET,boxscore,W,,3-Dec,@,Minnesota Vikings,23,10,22,383,199,184,3,7,139,82,57,1,-5.18,25.86,-6.94
17,Sun,29-Dec,1:00PM ET,boxscore,W,,13-3,@,Detroit Lions,23,20,25,432,312,120,1,17,305,134,171,1,8.54,-1.53,-4.01
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sun,12-Jan,6:40PM ET,boxscore,W,,14-3,,Seattle Seahawks,28,23,22,344,235,109,,23,375,265,110,,18.63,-15.53,1.8
Conf. Champ.,Sun,19-Jan,6:40PM ET,boxscore,L,,14-4,@,San Francisco 49ers,20,37,21,358,296,62,3,19,354,69,285,,5.47,-18.03,-2.28
