,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:00PM ET,boxscore,L,,0-1,,Las Vegas Raiders,30,34,22,388,259,129,,23,372,239,133,,16.44,-19.49,0.04
2,Sun,20-Sep,1:00PM ET,boxscore,L,,0-2,@,Tampa Bay Buccaneers,17,31,24,427,340,87,4,20,339,217,122,2,0.25,-7.61,-4.83
3,Sun,27-Sep,4:05PM ET,boxscore,W,,2-Jan,@,Los Angeles Chargers,21,16,14,302,221,81,,26,436,319,117,4,1.18,5.44,-0.62
4,Sun,4-Oct,1:00PM ET,boxscore,W,,2-Feb,,Arizona Cardinals,31,21,30,444,276,168,1,21,262,133,129,1,23.36,-8.53,-3.47
5,Sun,11-Oct,1:00PM ET,boxscore,W,,2-Mar,@,Atlanta Falcons,23,16,24,437,313,124,,21,373,207,166,1,18.13,-6.82,-2.46
6,Sun,18-Oct,1:00PM ET,boxscore,L,,3-Mar,,Chicago Bears,16,23,23,303,191,112,3,22,261,198,63,1,-3.15,-1.01,-2.23
7,Sun,25-Oct,1:00PM ET,boxscore,L,,4-Mar,@,New Orleans Saints,24,27,18,283,246,37,,26,415,277,138,1,17.99,-21.29,-1.07
8,Thu,29-Oct,8:20PM ET,boxscore,L,,5-Mar,,Atlanta Falcons,17,25,18,304,157,147,1,28,401,270,131,1,2.21,-15.4,6.84
9,Sun,8-Nov,1:00PM ET,boxscore,L,,6-Mar,@,Kansas City Chiefs,31,33,30,435,331,104,,24,397,361,36,1,19.28,-20.48,1.85
10,Sun,15-Nov,1:00PM ET,boxscore,L,,7-Mar,,Tampa Bay Buccaneers,23,46,13,187,122,65,1,30,544,334,210,1,-6.81,-27.3,11.18
11,Sun,22-Nov,1:00PM ET,boxscore,W,,7-Apr,,Detroit Lions,20,0,20,374,258,116,2,10,185,145,40,1,-1.61,18.63,3.12
12,Sun,29-Nov,1:00PM ET,boxscore,L,,8-Apr,@,Minnesota Vikings,27,28,21,374,267,107,1,26,387,291,96,3,7.73,-0.99,-7.86
13,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
14,Sun,13-Dec,1:00PM ET,boxscore,L,,9-Apr,,Denver Broncos,27,32,22,370,245,125,,23,365,269,96,1,7.47,-8.51,-5.3
15,Sat,19-Dec,8:15PM ET,boxscore,L,,10-Apr,@,Green Bay Packers,16,24,20,364,249,115,1,20,291,96,195,,-1,-6.96,-4.27
16,Sun,27-Dec,4:05PM ET,boxscore,W,,10-May,@,Washington Football Team,20,13,19,280,167,113,2,20,386,278,108,4,-5.85,5.49,7.24
17,Sun,3-Jan,4:25PM ET,boxscore,L,,11-May,,New Orleans Saints,7,33,17,320,246,74,5,20,347,191,156,,-14.42,-10.71,-0.09
