,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,10-Sep,10:20PM ET,boxscore,L,,0-1,,Los Angeles Rams,13,33,20,395,300,95,3,23,365,225,140,,-6.75,-16.1,5.9
2,Sun,16-Sep,4:25PM ET,boxscore,L,,0-2,@,Denver Broncos,19,20,21,373,281,92,,20,385,217,168,1,9.02,-11.81,0.41
3,Sun,23-Sep,1:00PM ET,boxscore,L,,0-3,@,Miami Dolphins,20,28,25,434,325,109,2,13,373,332,41,,9.08,-13.07,-7.77
4,Sun,30-Sep,4:05PM ET,boxscore,W,OT,3-Jan,,Cleveland Browns,45,42,27,565,426,139,2,21,487,279,208,4,7.23,-1.25,-2.16
5,Sun,7-Oct,4:05PM ET,boxscore,L,,4-Jan,@,Los Angeles Chargers,10,26,14,289,248,41,2,19,412,333,79,,-2.22,-17.22,-0.93
6,Sun,14-Oct,1:00PM ET,boxscore,L,,5-Jan,,Seattle Seahawks,3,27,15,185,106,79,2,19,369,214,155,1,-12.31,-12,-1.97
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,28-Oct,4:05PM ET,boxscore,L,,6-Jan,,Indianapolis Colts,28,42,19,347,244,103,1,28,461,239,222,,12.71,-29.44,2.04
9,Thu,1-Nov,8:20PM ET,boxscore,L,,7-Jan,@,San Francisco 49ers,3,34,14,242,140,102,,18,405,262,143,,-9.22,-15.9,-3.46
10,Sun,11-Nov,4:05PM ET,boxscore,L,,8-Jan,,Los Angeles Chargers,6,20,16,317,203,114,1,16,335,222,113,1,-13.18,-9,7.33
11,Sun,18-Nov,4:05PM ET,boxscore,W,,8-Feb,@,Arizona Cardinals,23,21,19,325,173,152,,13,282,128,154,2,0.79,6.58,-4.96
12,Sun,25-Nov,1:00PM ET,boxscore,L,,9-Feb,@,Baltimore Ravens,17,34,13,249,182,67,1,23,416,174,242,2,-8.83,-11.19,-2.03
13,Sun,2-Dec,4:05PM ET,boxscore,L,,10-Feb,,Kansas City Chiefs,33,40,28,442,271,171,3,25,469,295,174,1,14.5,-20.87,0.05
14,Sun,9-Dec,4:25PM ET,boxscore,W,,10-Mar,,Pittsburgh Steelers,24,21,20,354,299,55,1,24,340,300,40,1,9.01,-12.58,5.63
15,Sun,16-Dec,1:00PM ET,boxscore,L,,11-Mar,@,Cincinnati Bengals,16,30,13,297,229,68,2,18,294,123,171,1,-11.09,-3.31,-0.58
16,Mon,24-Dec,8:15PM ET,boxscore,W,,11-Apr,,Denver Broncos,27,14,16,273,159,114,,19,300,200,100,2,2.72,-1.32,12.49
17,Sun,30-Dec,4:25PM ET,boxscore,L,,12-Apr,@,Kansas City Chiefs,3,35,20,292,165,127,4,18,409,310,99,1,-22.66,-17.34,9.26
