,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,10-Sep,10:20PM ET,boxscore,W,,Jan-00,@,Oakland Raiders,33,13,23,365,225,140,,20,395,300,95,3,16.1,6.75,-5.9
2,Sun,16-Sep,4:05PM ET,boxscore,W,,Feb-00,,Arizona Cardinals,34,0,24,432,342,90,1,5,137,83,54,1,18.11,17.5,-3.56
3,Sun,23-Sep,4:05PM ET,boxscore,W,,Mar-00,,Los Angeles Chargers,35,23,33,521,350,171,2,16,356,215,141,2,24.39,-10,-0.42
4,Thu,27-Sep,8:20PM ET,boxscore,W,,Apr-00,,Minnesota Vikings,38,31,25,556,456,100,,25,446,392,54,1,33.75,-15.88,-6.96
5,Sun,7-Oct,4:25PM ET,boxscore,W,,May-00,@,Seattle Seahawks,33,31,30,468,313,155,2,20,373,183,190,,21.36,-19.11,0.12
6,Sun,14-Oct,4:05PM ET,boxscore,W,,Jun-00,@,Denver Broncos,23,20,24,444,174,270,1,23,357,297,60,1,11.09,-6.06,-0.02
7,Sun,21-Oct,4:25PM ET,boxscore,W,,Jul-00,@,San Francisco 49ers,39,10,20,339,193,146,,16,228,121,107,4,10.86,19.69,-5.98
8,Sun,28-Oct,4:25PM ET,boxscore,W,,Aug-00,,Green Bay Packers,29,27,23,416,281,135,,16,359,253,106,1,7.93,-14.06,8.28
9,Sun,4-Nov,4:25PM ET,boxscore,L,,1-Aug,@,New Orleans Saints,35,45,23,483,391,92,1,31,487,346,141,1,20.09,-29.05,-8.53
10,Sun,11-Nov,4:25PM ET,boxscore,W,,1-Sep,,Seattle Seahawks,36,31,25,456,307,149,,29,414,141,273,1,22.36,-15.66,-1.89
11,Mon,19-Nov,8:15PM ET,boxscore,W,,1-Oct,,Kansas City Chiefs,54,51,29,455,379,76,2,27,546,448,98,5,15.93,-10.02,-2.52
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,2-Dec,1:00PM ET,boxscore,W,,1-Nov,@,Detroit Lions,30,16,24,344,195,149,2,23,310,208,102,2,6.09,5.26,1.34
14,Sun,9-Dec,8:20PM ET,boxscore,L,,2-Nov,@,Chicago Bears,6,15,14,214,162,52,4,17,294,100,194,3,-21.99,15.04,2.29
15,Sun,16-Dec,8:20PM ET,boxscore,L,,3-Nov,,Philadelphia Eagles,23,30,23,407,325,82,3,17,381,270,111,1,1.52,-1.68,-3.79
16,Sun,23-Dec,4:05PM ET,boxscore,W,,3-Dec,@,Arizona Cardinals,31,9,33,461,192,269,1,15,263,159,104,,24.42,4.01,-5.46
17,Sun,30-Dec,4:25PM ET,boxscore,W,,13-3,,San Francisco 49ers,48,32,28,377,222,155,,22,391,264,127,4,16.59,-1.86,-3.88
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,12-Jan,8:15PM ET,boxscore,W,,14-3,,Dallas Cowboys,30,22,30,459,186,273,,19,308,258,50,,24.75,-13.46,-0.14
Conf. Champ.,Sun,20-Jan,3:05PM ET,boxscore,W,OT,15-3,@,New Orleans Saints,26,23,19,378,301,77,1,19,290,242,48,1,3.02,-2.51,2.95
SuperBowl,Sun,3-Feb,6:30PM ET,boxscore,L,,15-4,N,New England Patriots,3,13,14,260,198,62,1,22,407,253,154,1,-11.82,-2.46,4.34
