,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:00PM ET,boxscore,W,,Jan-00,,Buffalo Bills,47,3,26,369,252,117,1,10,153,70,83,2,7.23,28.71,2.33
2,Thu,13-Sep,8:20PM ET,boxscore,L,,1-Jan,@,Cincinnati Bengals,23,34,28,425,359,66,3,24,373,265,108,,2.72,-12.8,1.12
3,Sun,23-Sep,1:00PM ET,boxscore,W,,1-Feb,,Denver Broncos,27,14,20,342,265,77,,18,293,173,120,1,8.96,7.96,-5.82
4,Sun,30-Sep,8:20PM ET,boxscore,W,,1-Mar,@,Pittsburgh Steelers,26,14,24,451,355,96,1,14,284,265,19,2,7.71,10.05,-2.06
5,Sun,7-Oct,1:00PM ET,boxscore,L,OT,2-Mar,@,Cleveland Browns,9,12,25,410,294,116,2,20,416,304,112,1,-11.13,7.48,2.05
6,Sun,14-Oct,4:25PM ET,boxscore,W,,2-Apr,@,Tennessee Titans,21,0,23,361,238,123,1,7,106,51,55,,12.84,15.17,-2.21
7,Sun,21-Oct,4:05PM ET,boxscore,L,,3-Apr,,New Orleans Saints,23,24,25,351,274,77,,26,339,205,134,1,16.64,-12.99,-7.63
8,Sun,28-Oct,1:00PM ET,boxscore,L,,4-Apr,@,Carolina Panthers,21,36,20,325,224,101,3,22,386,232,154,,1.24,-18.22,7.88
9,Sun,4-Nov,1:00PM ET,boxscore,L,,5-Apr,,Pittsburgh Steelers,16,23,18,265,204,61,,27,395,282,113,,7.37,-17.75,4.01
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,18-Nov,1:00PM ET,boxscore,W,,5-May,,Cincinnati Bengals,24,21,23,403,136,267,1,15,255,207,48,,2.66,0.01,-5.08
12,Sun,25-Nov,1:00PM ET,boxscore,W,,5-Jun,,Oakland Raiders,34,17,23,416,174,242,2,13,249,182,67,1,11.19,8.83,2.03
13,Sun,2-Dec,1:00PM ET,boxscore,W,,5-Jul,@,Atlanta Falcons,26,16,25,366,159,207,1,16,131,97,34,1,-1.63,13.31,-1.11
14,Sun,9-Dec,1:00PM ET,boxscore,L,OT,6-Jul,@,Kansas City Chiefs,24,27,24,321,127,194,1,30,442,348,94,1,4.92,-17.44,9.52
15,Sun,16-Dec,1:00PM ET,boxscore,W,,6-Aug,,Tampa Bay Buccaneers,20,12,24,370,128,242,2,12,241,156,85,1,6.86,6,-2.23
16,Sat,22-Dec,8:20PM ET,boxscore,W,,6-Sep,@,Los Angeles Chargers,22,10,15,361,202,159,1,14,198,147,51,3,-3.87,21.26,-1.7
17,Sun,30-Dec,4:25PM ET,boxscore,W,,6-Oct,,Cleveland Browns,26,24,24,463,167,296,1,18,426,376,50,3,7.31,-9.49,2.95
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,6-Jan,1:05PM ET,boxscore,L,,7-Oct,,Los Angeles Chargers,17,23,11,229,139,90,3,14,243,154,89,1,-14.46,9.17,2.32
