,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,9-Sep,7:10PM ET,boxscore,W,,Jan-00,,Houston Texans,30,28,25,510,362,148,1,22,414,234,180,1,23.59,-19.6,-0.06
2,Sun,15-Sep,4:25PM ET,boxscore,L,,1-Jan,@,Los Angeles Rams,9,27,15,244,187,57,1,20,380,265,115,1,-13.12,-7.63,6.34
3,Sun,22-Sep,4:25PM ET,boxscore,W,,1-Feb,@,Seattle Seahawks,33,27,15,265,177,88,1,26,514,406,108,1,0.89,-8.28,6.88
4,Sun,29-Sep,8:20PM ET,boxscore,W,,1-Mar,,Dallas Cowboys,12,10,18,266,149,117,1,15,257,212,45,3,-1.84,-1.46,0.65
5,Sun,6-Oct,1:00PM ET,boxscore,W,,1-Apr,,Tampa Bay Buccaneers,31,24,25,457,345,112,1,19,252,158,94,,17.39,-4.27,-3.99
6,Sun,13-Oct,1:00PM ET,boxscore,W,,1-May,@,Jacksonville Jaguars,13,6,18,326,222,104,,11,226,151,75,1,1.88,11.07,-0.56
7,Sun,20-Oct,4:25PM ET,boxscore,W,,1-Jun,@,Chicago Bears,36,25,24,424,273,151,,16,252,235,17,2,13.46,12.36,-10.99
8,Sun,27-Oct,1:00PM ET,boxscore,W,,1-Jul,,Arizona Cardinals,31,9,28,510,373,137,1,10,237,197,40,,24.66,11.97,-9.91
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,10-Nov,1:00PM ET,boxscore,L,,2-Jul,,Atlanta Falcons,9,26,18,310,258,52,,24,317,174,143,1,-10.99,-5.44,0.17
11,Sun,17-Nov,1:00PM ET,boxscore,W,,2-Aug,@,Tampa Bay Buccaneers,34,17,21,328,219,109,,21,334,298,36,4,12.23,1.16,-0.13
12,Sun,24-Nov,1:00PM ET,boxscore,W,,2-Sep,,Carolina Panthers,34,31,23,418,300,118,1,26,351,230,121,1,15.06,-16.55,5.89
13,Thu,28-Nov,8:20PM ET,boxscore,W,,2-Oct,@,Atlanta Falcons,26,18,14,279,184,95,,27,348,259,89,3,1.68,5.43,4.87
14,Sun,8-Dec,1:00PM ET,boxscore,L,,3-Oct,,San Francisco 49ers,46,48,28,465,349,116,1,25,516,354,162,1,21.97,-27.42,3.51
15,Mon,16-Dec,8:15PM ET,boxscore,W,,3-Nov,,Indianapolis Colts,34,7,27,424,307,117,,16,205,159,46,,23.61,2.27,0.53
16,Sun,22-Dec,1:00PM ET,boxscore,W,,3-Dec,@,Tennessee Titans,38,28,23,377,275,102,,17,397,248,149,1,13.33,-4.25,2.33
17,Sun,29-Dec,1:00PM ET,boxscore,W,,13-3,@,Carolina Panthers,42,10,25,379,264,115,,16,329,288,41,3,17.52,14.97,-2.88
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,5-Jan,1:05PM ET,boxscore,L,OT,13-4,,Minnesota Vikings,20,26,19,324,227,97,2,22,362,226,136,1,1.72,-3.22,-3.43
