,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,4:05PM ET,boxscore,W,,Jan-00,,Cincinnati Bengals,21,20,12,232,160,72,1,22,429,395,34,3,-5.43,-0.16,8.5
2,Sun,15-Sep,1:00PM ET,boxscore,W,,Feb-00,@,Pittsburgh Steelers,28,26,25,425,274,151,2,17,261,180,81,1,5.07,-0.23,1.28
3,Sun,22-Sep,4:25PM ET,boxscore,L,,1-Feb,,New Orleans Saints,27,33,26,514,406,108,1,15,265,177,88,1,8.28,-0.89,-6.88
4,Sun,29-Sep,4:05PM ET,boxscore,W,,1-Mar,@,Arizona Cardinals,27,10,21,340,225,115,,20,321,206,115,1,10.61,0.78,2.81
5,Thu,3-Oct,8:20PM ET,boxscore,W,,1-Apr,,Los Angeles Rams,30,29,25,429,262,167,1,24,477,395,82,2,12.97,-9.94,-1.58
6,Sun,13-Oct,1:00PM ET,boxscore,W,,1-May,@,Cleveland Browns,32,28,29,454,284,170,1,21,406,249,157,4,15.53,-3.24,-4.92
7,Sun,20-Oct,4:25PM ET,boxscore,L,,2-May,,Baltimore Ravens,16,30,20,347,241,106,2,14,340,141,199,,-6.98,-7.42,-0.09
8,Sun,27-Oct,1:00PM ET,boxscore,W,,2-Jun,@,Atlanta Falcons,27,20,18,322,171,151,,30,510,441,69,3,7.62,-12.89,15.43
9,Sun,3-Nov,4:05PM ET,boxscore,W,OT,2-Jul,,Tampa Bay Buccaneers,40,34,31,492,347,145,1,29,418,319,99,1,23.58,-13.19,-6.92
10,Mon,11-Nov,8:15PM ET,boxscore,W,OT,2-Aug,@,San Francisco 49ers,27,24,19,336,189,147,4,21,302,215,87,3,-17.69,17.73,4.23
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,24-Nov,1:00PM ET,boxscore,W,,2-Sep,@,Philadelphia Eagles,17,9,14,348,174,174,2,23,344,238,106,5,-4.38,17.25,-0.2
13,Mon,2-Dec,8:15PM ET,boxscore,W,,2-Oct,,Minnesota Vikings,37,30,24,444,226,218,2,17,354,276,78,3,5.79,-6.46,10.5
14,Sun,8-Dec,8:20PM ET,boxscore,L,,3-Oct,@,Los Angeles Rams,12,28,16,308,202,106,1,26,455,293,162,2,-7.74,-13.97,4.96
15,Sun,15-Dec,1:00PM ET,boxscore,W,,3-Nov,@,Carolina Panthers,30,24,21,428,274,154,1,28,414,269,145,3,16.22,-6.32,-3.89
16,Sun,22-Dec,4:25PM ET,boxscore,L,,4-Nov,,Arizona Cardinals,13,27,13,224,133,91,1,21,412,159,253,,-13.87,-10.12,6.82
17,Sun,29-Dec,8:20PM ET,boxscore,L,,5-Nov,,San Francisco 49ers,21,26,27,348,223,125,,18,398,270,128,,10.85,-17.28,3.02
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,5-Jan,4:40PM ET,boxscore,W,,5-Dec,@,Philadelphia Eagles,17,9,16,382,318,64,,20,282,162,120,,10.59,1.96,-3.79
Division,Sun,12-Jan,6:40PM ET,boxscore,L,,6-Dec,@,Green Bay Packers,23,28,23,375,265,110,,22,344,235,109,,15.53,-18.63,-1.8
