,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,14-Sep,7:15PM ET,boxscore,W,,Jan-00,@,New York Giants,26,16,19,349,208,141,1,20,291,262,29,2,13.2,6.06,-5.36
2,Sun,20-Sep,1:00PM ET,boxscore,W,,Feb-00,,Denver Broncos,26,21,19,410,301,109,2,23,319,215,104,2,-0.36,6.02,3.9
3,Sun,27-Sep,1:00PM ET,boxscore,W,,Mar-00,,Houston Texans,28,21,25,387,218,169,,13,260,231,29,1,15.39,-4.41,-2.08
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,11-Oct,1:00PM ET,boxscore,W,,Apr-00,,Philadelphia Eagles,38,29,25,367,231,136,1,20,336,242,94,2,20.16,-14.47,3.43
6,Sun,18-Oct,1:00PM ET,boxscore,W,,May-00,,Cleveland Browns,38,7,18,277,148,129,,12,220,145,75,2,6.99,22.96,0.58
7,Sun,25-Oct,1:00PM ET,boxscore,W,,Jun-00,@,Tennessee Titans,27,24,23,362,268,94,3,15,292,210,82,,6.7,-6.99,3.88
8,Sun,1-Nov,1:00PM ET,boxscore,W,,Jul-00,@,Baltimore Ravens,28,24,19,221,173,48,1,25,457,192,265,4,4.67,-3.94,-0.54
9,Sun,8-Nov,4:25PM ET,boxscore,W,,Aug-00,@,Dallas Cowboys,24,19,20,355,309,46,,19,364,220,144,2,4.51,3.09,-5.6
10,Sun,15-Nov,4:25PM ET,boxscore,W,,Sep-00,,Cincinnati Bengals,36,10,22,377,333,44,,16,324,185,139,2,7.92,10.97,-0.05
11,Sun,22-Nov,1:00PM ET,boxscore,W,,Oct-00,@,Jacksonville Jaguars,27,3,23,373,267,106,1,14,206,133,73,4,11.97,22.2,-5.91
12,Wed,2-Dec,3:40PM ET,boxscore,W,,Nov-00,,Baltimore Ravens,19,14,22,334,266,68,2,10,219,90,129,2,2.03,12.11,-10.71
13,Mon,7-Dec,5:00PM ET,boxscore,L,,1-Nov,,Washington Football Team,17,23,17,326,305,21,1,18,318,273,45,,-5.7,7.02,-3.99
14,Sun,13-Dec,8:20PM ET,boxscore,L,,2-Nov,@,Buffalo Bills,15,26,14,224,177,47,2,21,334,230,104,2,-11.72,-3.18,0.16
15,Mon,21-Dec,8:15PM ET,boxscore,L,,3-Nov,@,Cincinnati Bengals,17,27,12,244,158,86,3,13,230,78,152,,-17.2,3.71,4.31
16,Sun,27-Dec,1:00PM ET,boxscore,W,,3-Dec,,Indianapolis Colts,28,24,26,354,332,22,,21,365,238,127,2,8.37,-0.99,-2.01
17,Sun,3-Jan,1:00PM ET,boxscore,L,,4-Dec,@,Cleveland Browns,22,24,18,394,309,85,1,21,358,166,192,,7.05,-12.89,-0.33
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,10-Jan,8:15PM ET,boxscore,L,,5-Dec,,Cleveland Browns,37,48,34,553,501,52,5,20,390,263,127,,4.24,-14.03,-4.08
