,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:00PM ET,boxscore,L,,0-1,@,New England Patriots,20,27,21,325,158,167,2,23,389,267,122,3,-8.05,-4.29,6.85
2,Sun,16-Sep,1:00PM ET,boxscore,L,,0-2,@,Tennessee Titans,17,20,21,437,289,148,1,15,283,183,100,,12.07,5.08,-14.87
3,Sun,23-Sep,1:00PM ET,boxscore,L,,0-3,,New York Giants,22,27,21,427,368,59,2,21,379,265,114,,6,-14.9,3.71
4,Sun,30-Sep,1:00PM ET,boxscore,W,OT,3-Jan,@,Indianapolis Colts,37,34,30,466,347,119,1,28,478,437,41,2,13.24,-4.22,-4.75
5,Sun,7-Oct,8:20PM ET,boxscore,W,OT,3-Feb,,Dallas Cowboys,19,16,25,462,374,88,2,14,292,194,98,2,1.63,8.15,-5.93
6,Sun,14-Oct,1:00PM ET,boxscore,W,,3-Mar,,Buffalo Bills,20,13,15,216,142,74,3,12,229,129,100,3,-12.36,17.49,6.15
7,Sun,21-Oct,1:00PM ET,boxscore,W,,3-Apr,@,Jacksonville Jaguars,20,7,15,272,131,141,,15,259,189,70,3,0.33,14.02,1.41
8,Thu,25-Oct,8:20PM ET,boxscore,W,,3-May,,Miami Dolphins,42,23,17,427,239,188,,18,370,254,116,1,26.51,-1.41,-8.12
9,Sun,4-Nov,4:05PM ET,boxscore,W,,3-Jun,@,Denver Broncos,19,17,17,290,192,98,,19,348,273,75,1,0.79,-3.66,3.27
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,18-Nov,1:00PM ET,boxscore,W,,3-Jul,@,Washington Redskins,23,21,19,320,181,139,3,23,278,154,124,2,-3.27,6.12,-1.26
12,Mon,26-Nov,8:15PM ET,boxscore,W,,3-Aug,,Tennessee Titans,34,17,19,462,181,281,,14,365,260,105,1,20.01,-1.51,-7.77
13,Sun,2-Dec,1:00PM ET,boxscore,W,,3-Sep,,Cleveland Browns,29,13,25,384,197,187,,20,428,397,31,4,8.03,3.39,4.03
14,Sun,9-Dec,1:00PM ET,boxscore,L,,4-Sep,,Indianapolis Colts,21,24,25,315,226,89,,24,436,386,50,1,8.14,-13.09,2.01
15,Sat,15-Dec,4:30PM ET,boxscore,W,,4-Oct,@,New York Jets,29,22,15,286,239,47,,21,318,228,90,1,2.17,0.47,4.92
16,Sun,23-Dec,1:00PM ET,boxscore,L,,5-Oct,@,Philadelphia Eagles,30,32,25,371,309,62,1,25,519,462,57,3,10.43,-15.67,0.98
17,Sun,30-Dec,1:00PM ET,boxscore,W,,5-Nov,,Jacksonville Jaguars,20,3,23,342,208,134,1,6,119,89,30,2,2.75,20.82,-2.02
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,5-Jan,4:35PM ET,boxscore,L,,6-Nov,,Indianapolis Colts,7,21,20,322,217,105,1,26,422,222,200,1,-3.99,-16.89,2.95
