,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:00PM ET,boxscore,L,,0-1,,Green Bay Packers,34,43,25,382,248,134,1,31,522,364,158,,19.11,-28.03,-3.78
2,Sun,20-Sep,1:00PM ET,boxscore,L,,0-2,@,Indianapolis Colts,11,28,12,175,95,80,3,24,354,203,151,1,-9.97,-5.63,-4.52
3,Sun,27-Sep,1:00PM ET,boxscore,L,,0-3,,Tennessee Titans,30,31,22,464,238,226,3,23,444,310,134,1,10.21,-3.79,-7.95
4,Sun,4-Oct,1:00PM ET,boxscore,W,,3-Jan,@,Houston Texans,31,23,24,410,248,162,,20,386,290,96,1,17.07,-8.81,-1.44
5,Sun,11-Oct,8:20PM ET,boxscore,L,,4-Jan,@,Seattle Seahawks,26,27,31,449,248,201,2,18,314,190,124,1,6.68,-8.96,-0.07
6,Sun,18-Oct,1:00PM ET,boxscore,L,,5-Jan,,Atlanta Falcons,23,40,19,365,333,32,3,24,462,363,99,1,0.99,-20.17,-0.84
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,1-Nov,1:00PM ET,boxscore,W,,5-Feb,@,Green Bay Packers,28,22,20,324,151,173,,24,400,291,109,1,20.77,-13.95,-1.23
9,Sun,8-Nov,1:00PM ET,boxscore,W,,5-Mar,,Detroit Lions,34,20,22,487,212,275,,30,421,292,129,3,22.76,-4.68,-9.45
10,Mon,16-Nov,8:15PM ET,boxscore,W,,5-Apr,@,Chicago Bears,19,13,19,385,286,99,2,10,149,108,41,2,-3.86,18.69,-8.08
11,Sun,22-Nov,4:25PM ET,boxscore,L,,6-Apr,,Dallas Cowboys,28,31,24,430,305,125,2,24,376,196,180,1,9,-15.61,2.73
12,Sun,29-Nov,1:00PM ET,boxscore,W,,6-May,,Carolina Panthers,28,27,26,387,291,96,3,21,374,267,107,1,0.99,-7.73,7.86
13,Sun,6-Dec,1:00PM ET,boxscore,W,OT,6-Jun,,Jacksonville Jaguars,27,24,30,420,275,145,2,20,390,266,124,4,-2.36,4.24,3.19
14,Sun,13-Dec,1:00PM ET,boxscore,L,,7-Jun,@,Tampa Bay Buccaneers,14,26,27,335,173,162,1,17,303,196,107,,10.7,-18.44,-7.06
15,Sun,20-Dec,1:00PM ET,boxscore,L,,8-Jun,,Chicago Bears,27,33,26,407,249,158,1,23,397,198,199,1,11.76,-14.23,-4
16,Fri,25-Dec,4:30PM ET,boxscore,L,,9-Jun,@,New Orleans Saints,33,52,25,364,274,90,,36,583,319,264,2,16.7,-35.03,-0.55
17,Sun,3-Jan,1:00PM ET,boxscore,W,,9-Jul,@,Detroit Lions,37,35,31,508,383,125,,21,417,288,129,2,27.15,-18.16,-3.69
