,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,4:25PM ET,boxscore,W,,Jan-00,@,Arizona Cardinals,24,6,30,429,247,182,1,14,213,145,68,2,16.72,9.94,-7.08
2,Sun,16-Sep,1:00PM ET,boxscore,L,,1-Jan,,Indianapolis Colts,9,21,20,334,269,65,1,17,281,177,104,2,-4.9,-3.83,-4.64
3,Sun,23-Sep,1:00PM ET,boxscore,W,,1-Feb,,Green Bay Packers,31,17,20,386,220,166,1,19,340,240,100,1,12.37,3.32,-0.92
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Mon,8-Oct,8:15PM ET,boxscore,L,,2-Feb,@,New Orleans Saints,19,43,18,283,244,39,2,27,447,349,98,1,-6.22,-25.98,6.15
6,Sun,14-Oct,1:00PM ET,boxscore,W,,2-Mar,,Carolina Panthers,23,17,18,288,156,132,,22,350,269,81,3,1.15,-7.02,11.87
7,Sun,21-Oct,4:25PM ET,boxscore,W,,2-Apr,,Dallas Cowboys,20,17,15,305,175,130,,17,323,250,73,2,0.89,1.71,0.27
8,Sun,28-Oct,1:00PM ET,boxscore,W,,2-May,@,New York Giants,20,13,20,360,178,182,1,18,303,266,37,2,-0.19,4.74,3.53
9,Sun,4-Nov,1:00PM ET,boxscore,L,,3-May,,Atlanta Falcons,14,38,20,366,287,79,1,25,491,337,154,1,6.19,-30.07,4.39
10,Sun,11-Nov,1:00PM ET,boxscore,W,,3-Jun,@,Tampa Bay Buccaneers,16,3,15,286,170,116,,29,501,398,103,4,1.74,-2.31,10.04
11,Sun,18-Nov,1:00PM ET,boxscore,L,,4-Jun,,Houston Texans,21,23,23,278,154,124,2,19,320,181,139,3,-6.12,3.27,1.26
12,Thu,22-Nov,4:30PM ET,boxscore,L,,5-Jun,@,Dallas Cowboys,23,31,18,331,251,80,3,20,404,258,146,,-0.72,-10.45,1.62
13,Mon,3-Dec,8:15PM ET,boxscore,L,,6-Jun,@,Philadelphia Eagles,13,28,10,235,131,104,1,28,436,306,130,1,-7.51,-11.31,4.67
14,Sun,9-Dec,1:00PM ET,boxscore,L,,7-Jun,,New York Giants,16,40,12,288,204,84,3,19,402,175,227,1,-19.48,-10.27,9.84
15,Sun,16-Dec,1:00PM ET,boxscore,W,,7-Jul,@,Jacksonville Jaguars,16,13,16,245,136,109,,11,192,20,172,2,-2.63,14.66,-7.76
16,Sat,22-Dec,4:30PM ET,boxscore,L,,8-Jul,@,Tennessee Titans,16,25,17,292,131,161,2,20,291,192,99,,-1.2,-10.02,7.22
17,Sun,30-Dec,4:25PM ET,boxscore,L,,9-Jul,,Philadelphia Eagles,0,24,8,89,68,21,1,25,360,231,129,1,-20.41,-12.25,7.8
