,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,4:25PM ET,boxscore,W,,Jan-00,@,Tampa Bay Buccaneers,31,17,17,256,158,98,2,21,295,174,121,4,-7.51,19.12,1.1
2,Sun,15-Sep,1:00PM ET,boxscore,W,,Feb-00,@,Cincinnati Bengals,41,17,27,571,312,259,1,14,316,291,25,1,27.34,1.14,-6.64
3,Sun,22-Sep,4:25PM ET,boxscore,W,,Mar-00,,Pittsburgh Steelers,24,20,26,436,268,168,5,11,239,160,79,2,-3.72,10.2,0.12
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Mon,7-Oct,8:15PM ET,boxscore,W,,Apr-00,,Cleveland Browns,31,3,22,446,171,275,,9,180,78,102,4,12.38,22.56,-10.5
6,Sun,13-Oct,4:05PM ET,boxscore,W,,May-00,@,Los Angeles Rams,20,7,22,331,232,99,2,10,157,48,109,1,-3.54,25.23,-5.01
7,Sun,20-Oct,1:00PM ET,boxscore,W,,Jun-00,@,Washington Redskins,9,0,17,283,146,137,1,10,154,50,104,1,-1.99,14.12,-0.61
8,Sun,27-Oct,4:05PM ET,boxscore,W,,Jul-00,,Carolina Panthers,51,13,24,388,156,232,1,12,230,100,130,3,15.84,30.05,-7.14
9,Thu,31-Oct,8:20PM ET,boxscore,W,,Aug-00,@,Arizona Cardinals,28,25,21,411,310,101,,19,357,204,153,,18.45,-13.71,0.88
10,Mon,11-Nov,8:15PM ET,boxscore,L,OT,1-Aug,,Seattle Seahawks,24,27,21,302,215,87,3,19,336,189,147,4,-17.73,17.69,-4.23
11,Sun,17-Nov,4:05PM ET,boxscore,W,,1-Sep,,Arizona Cardinals,36,26,26,442,408,34,2,21,266,131,135,2,8.92,-0.09,1.17
12,Sun,24-Nov,8:20PM ET,boxscore,W,,1-Oct,,Green Bay Packers,37,8,16,339,227,112,,19,198,81,117,1,10.66,14.62,0.67
13,Sun,1-Dec,1:00PM ET,boxscore,L,,2-Oct,@,Baltimore Ravens,17,20,15,331,157,174,1,21,283,105,178,1,6.2,-6.4,-1.2
14,Sun,8-Dec,1:00PM ET,boxscore,W,,2-Nov,@,New Orleans Saints,48,46,25,516,354,162,1,28,465,349,116,1,27.42,-21.97,-3.51
15,Sun,15-Dec,4:25PM ET,boxscore,L,,3-Nov,,Atlanta Falcons,22,29,20,313,193,120,2,20,290,201,89,1,2.84,-7.04,-2.73
16,Sat,21-Dec,8:15PM ET,boxscore,W,,3-Dec,,Los Angeles Rams,34,31,19,334,215,119,2,24,395,323,72,1,3.67,-3.16,1.84
17,Sun,29-Dec,8:20PM ET,boxscore,W,,13-3,@,Seattle Seahawks,26,21,18,398,270,128,,27,348,223,125,,17.28,-10.85,-3.02
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,11-Jan,4:35PM ET,boxscore,W,,14-3,,Minnesota Vikings,27,10,21,308,122,186,2,7,147,126,21,2,0.66,16.91,-0.78
Conf. Champ.,Sun,19-Jan,6:40PM ET,boxscore,W,,15-3,,Green Bay Packers,37,20,19,354,69,285,,21,358,296,62,3,18.03,-5.47,2.28
SuperBowl,Sun,2-Feb,6:30PM ET,boxscore,L,,15-4,N,Kansas City Chiefs,20,31,21,351,210,141,2,26,397,268,129,2,5.19,-18.54,1.58
